rank,name,github stars
331,jupyter-core,170
332,kubernetes,5101
333,google-auth-httplib2,15
334,netcdf4,614
335,python-telegram-bot,19588
336,pycrypto,
337,mysql-connector-python,
338,gunicorn,8504
339,peewee,9411
340,cssselect,255
341,azure-mgmt-core,2982
342,apscheduler,4473
343,parse,1457
344,blinker,1403
345,nbconvert,
346,uritemplate,
347,netaddr,701
348,dateparser,2107
349,cattrs,538
350,pyramid,3694
351,plover,
352,netifaces,280
353,sentry-sdk,1321
354,cerberus,2830
355,python-jose,1165
356,pytest-cov,1308
357,dataclasses-json,948
358,bokeh,16646
359,logzero,1029
360,jax,20077
361,contextlib2,
362,emoji,1527
363,rpi-gpio,
364,virtualenv,4252
365,pathspec,98
366,alembic,1537
367,pyodbc,2475
368,python-json-logger,1345
369,ordered-set,165
370,youtube-dl,112975
371,googleapis-common-protos,8
372,pytzdata,16
373,bottle,
374,wget,
375,deprecation,76
376,jeepney,
377,alibabacloud-openapi-util,2
378,kafka-python,4944
379,structlog,2160
380,widgetsnbextension,
381,html2text,1296
382,cookiecutter,17912
383,progressbar2,778
384,jupyterlab-widgets,2571
385,fonttools,3305
386,asn1crypto,273
387,oauth2client,782
388,pyautogui,7094
389,wxpython,1846
390,astunparse,186
391,webob,
392,sh,6357
393,uvloop,8829
394,jedi,5223
395,colored,
396,pyerfa,21
397,flask-sqlalchemy,3819
398,passlib,
399,trac,
400,google-cloud-bigquery,487
401,invoke,3676
402,secretstorage,72
403,semantic-version,244
404,gensim,13491
405,nibabel,494
406,flatbuffers,18670
407,python-sql,
408,ansible-core,54372
409,reportlab,
410,eth-utils,248
411,humanize,116
412,mako,215
413,hypothesis,6174
414,tldextract,1532
415,pyaml,120
416,pydicom,1474
417,django-filter,3819
418,tox,2966
419,stevedore,
420,itk,
421,blessed,844
422,pydot,709
423,requests-futures,1945
424,cftime,
425,urwid,
426,adafruit-circuitpython-typing,1
427,isort,5127
428,google-cloud-core,18
429,pyaes,404
430,distro,214
431,pyobjc-framework-cocoa,311
432,slackclient,3449
433,pynput,1245
434,tinydb,5300
435,fuzzywuzzy,8741
436,opentelemetry-api,1024
437,base58,158
438,requests-cache,985
439,opencv-contrib-python,2958
440,bidict,1166
441,nest-asyncio,409
442,jupyter-client,
443,tables,
444,pysocks,1109
445,pywavelets,1497
446,geographiclib,
447,flask-cors,791
448,terminaltables,14
449,lark,3339
450,kivy,14967
451,fastcore,775
452,schema,2643
453,appier,
454,phonenumbers,3079
455,nonebot-adapter-onebot,16
456,sphinx-rtd-theme,4166
457,smart-open,2582
458,pytorch-lightning,19906
459,python-socketio,3019
460,qrcode,3278
461,setuptools-scm,625
462,python-levenshtein,1169
463,pelican,11109
464,django-model-utils,2305
465,pyqtgraph,
466,rasterio,1808
467,configobj,278
468,asyncpg,5615
469,astor,677
470,bleach,2371
471,pysimplegui,10527
472,mutagen,1041
473,pydub,
474,xlwt,
475,jieba,29167
476,fake-useragent,2793
477,django-cms,
478,falcon,8865
479,xgboost,23142
480,pyasn1-modules,37
481,alibabacloud-tea-util-py2,8
482,alibabacloud-tea-openapi-py2,9
483,jpype1,850
484,pyglet,1214
485,mistune,2105
486,alibabacloud-endpoint-util-py2,2
487,django-appconf,332
488,alibabacloud-rpc-util,4
489,numexpr,1803
490,progress,1243
491,snowballstemmer,582
492,antchain-alipay-util,3
493,bleak,886
494,mastercard-api-core,
495,librosa,5374
496,plumbum,
497,cachecontrol,402
498,poetry,21469
499,python-gitlab,1870
500,zope-component,27
501,azure-storage-blob,2982
502,python-ldap,
503,foliant,110
504,requests-html,159
505,python-stdnum,374
506,kombu,
507,pyppeteer,2597
508,pycares,143
509,vine,104
510,retrying,1833
511,confluent-kafka,2914
512,wtforms,1340
513,anytree,732
514,pathlib2,71
515,altair,7726
516,azure-cli-nspkg,3221
517,tweepy,9057
518,astroid,418
519,configargparse,616
520,keyboard,3061
521,pycountry,374
522,geojson,737
523,inquirer,692
524,webdriver-manager,909
525,cubicweb,
526,matplotlib-inline,12
527,click-plugins,114
528,pyinquirer,1628
529,greenlet,1385
530,python-docx,3242
531,entrypoints,69
532,bitarray,559
533,ansible,54372
534,boto,6475
535,geopy,3727
536,lazy-object-proxy,207
537,oslo-utils,
538,gast,121
539,alibabacloud-openapi-util-py2,2
540,pickleshare,59
541,alabaster,
542,waitress,1121
543,texttable,315
544,exceptiongroup,9
545,thrift,
546,django-js-asset,15
547,opt-einsum,616
548,pyquery,2122
549,dacite,1122
550,scapy,7897
551,bitstring,322
552,construct,
553,schedule,9862
554,svgwrite,446
555,fiona,947
556,evdev,265
557,jaxlib,20077
558,fs,1731
559,python-decouple,2203
560,pathos,1156
561,fabric,13606
562,hidapi,220
563,multiprocess,389
564,ifaddr,56
565,email-validator,625
566,incremental,121
567,sphinxcontrib-serializinghtml,
568,mysqlclient,2101
569,voluptuous,1750
570,ase,
571,awscli,12831
572,w3lib,354
573,flask-restful,6442
574,jupyterhub,6781
575,marshmallow-enum,
576,imagesize,153
577,stack-data,21
578,aenum,89
579,backcall,15
580,ffmpeg-python,7202
581,xxhash,283
582,motor,2019
583,pyee,292
584,spidev,408
585,azure-nspkg,2982
586,fastjsonschema,355
587,aiodns,460
588,eth-typing,19
589,aws-cdk-aws-iam,9140
590,pyvisa,601
591,napari-plugin-engine,6
592,parso,507
593,inflect,690
594,async-generator,88
595,munch,617
596,trytond-party,
597,zeroconf,467
598,sparkfun-qwiic-i2c,
599,oslo-i18n,
600,gql,1106
601,sphinxcontrib-applehelp,
602,sphinxcontrib-devhelp,
603,sphinxcontrib-htmlhelp,
604,sphinxcontrib-jsmath,
605,sphinxcontrib-qthelp,
606,onnx,13195
607,ray,21855
608,firebase-admin,779
609,gdal,
610,pyaudio,
611,sqlalchemy-utils,967
612,mongoengine,3824
613,python-engineio,194
614,authlib,3257
615,libclang,38
616,deepdiff,1443
617,mpi4py,571
618,trytond-company,
619,mergedeep,73
620,tokenizers,5848
621,trytond-product,
622,huggingface-hub,517
623,clikit,71
624,stringcase,174
625,panda3d,3452
626,readchar,103
627,pyside6,
628,croniter,117
629,premailer,1011
630,mlflow,12554
631,azure-cli-command-modules-nspkg,3221
632,docstring-parser,129
633,eventlet,1117
634,flask-wtf,1297
635,asttokens,128
636,shortuuid,1713
637,telethon,6828
638,distributed,1394
639,jira,1612
640,m9s-trytond,
641,brotli,11428
642,sqlite-utils,975
643,python-box,2046
644,graphene,7368
645,tensorflow-io-gcs-filesystem,573
646,sentencepiece,6136
647,aiobotocore,832
648,ipaddress,101
649,cchardet,331
650,xonsh,6261
651,keras-preprocessing,1022
652,sentry,
653,tensorflow-estimator,270
654,py4j,
655,send2trash,210
656,questionary,923
657,ldap3,749
658,soundfile,9
659,pypandoc,531
660,requests-file,65
661,apispec,977
662,kratosmultiphysics,
663,colcon-core,74
664,omegaconf,1251
665,retry,522
666,frozendict,59
667,markdown-it-py,352
668,pyttsx3,1151
669,bluepy,1481
670,gspread,6049
671,moviepy,
672,fastavro,521
673,pycairo,471
674,sly,643
675,halo,2634
676,oslo-config,
677,furl,2321
678,distlib,28
679,cx-oracle,827
680,influxdb,1621
681,jsonpointer,112
682,pkginfo,
683,google-pasta,292
684,djangoldp,
685,parsel,809
686,polib,51
687,k3ut,
688,smbus,
689,pythonnet,
690,multipledispatch,676
691,tblib,131
692,python-daemon,
693,pefile,1468
694,anndata,296
695,simpleeval,316
696,allianceauth,
697,pydash,988
698,jwcrypto,325
699,pynwb,128
700,fds-sdk-utils,
701,unicodecsv,600
702,pytesseract,4387
703,setproctitle,419
704,prefect,9962
705,certbot,29234
706,slack-sdk,3449
707,google-resumable-media,35
708,funcy,2865
709,yt-dlp,31242
710,dbus-next,140
711,httptools,1065
712,num2words,592
713,cliff,
714,cytoolz,874
715,pymodbus,1586
716,build,367
717,deepmerge,
718,types-urllib3,8
719,pre-commit,8753
720,uuid,
721,grpc-google-iam-v1,
722,dbt-core,5418
723,jsonpath-ng,345
724,opencv-python-headless,2958
725,zstandard,326
726,fasteners,201
727,cleo,907
728,comtypes,214
729,napari,1460
730,executing,185
731,cbor2,145
732,pdfminer-six,3822
733,python-multipart,126
734,rapidfuzz,1468
735,pymssql,666
736,diskcache,1559
737,aws-cdk-aws-lambda,9140
